happy,sad,anger,surprise,disgust,fear,ASR,label,fname
0.0,0.33333334,0.0,0.0,0.0,0.0, ,low-intensity-sad,268836_33.8555_34.0450.wav
0.33333334,0.0,0.0,1.0,0.0,0.6666667, maybe john,fear-surprise,70420_6.7470_7.8450.wav
0.6666667,0.0,0.0,0.0,0.0,0.0, well it's not even a movie at that,happy,73447_92.6970_94.5780.wav
0.6666667,0.0,0.0,0.33333334,0.33333334,0.0, i starting to listen to what your body needs limit,happy,7EWOMjaKlus_381.4967_383.9013.wav
1.3333334,0.0,0.0,0.0,0.0,0.0, i love that from a career development standpoint,happy,7UlSX-syPeo_13.3621_15.6569.wav
2.0,0.0,0.0,0.0,0.0,0.0, now taking a small job,happy,7UlSX-syPeo_56.3195_58.2501.wav
0.33333334,0.0,0.0,0.0,0.0,0.0, maybe a pale yellow in the kitchen to brighten things up,low-intensity-happy,7ZzbemE4QEE_53.4295_56.7780.wav
0.0,0.0,0.0,0.0,0.0,0.0, number three fix or replace anything that's broken,none,7ZzbemE4QEE_56.7780_60.3648.wav
0.0,0.0,0.0,0.0,0.0,0.0, is necessary but don't over improve that's one of the biggest problems that people do they put the,none,7ZzbemE4QEE_75.8186_80.7784.wav
1.0,0.33333334,0.0,0.0,0.0,0.0, which one are you may wind up losing net in the end the only,happy,7ZzbemE4QEE_80.7784_83.8614.wav
1.0,0.0,0.0,0.0,0.0,0.0, so consider that,happy,7ZzbemE4QEE_90.2519_92.6725.wav
0.0,0.33333334,0.0,0.0,0.0,0.0, in houses is the key to a quick sale,low-intensity-sad,7ZzbemE4QEE_98.1140_102.5240.wav
0.0,0.33333334,0.0,0.0,0.0,0.0, will do all the work for you so you don't have to do lift a finger the house,low-intensity-sad,7ZzbemE4QEE_134.2519_138.2877.wav
0.0,0.33333334,0.0,0.0,0.0,0.0, do you take time,low-intensity-sad,7ZzbemE4QEE_161.4950_163.1013.wav
0.0,0.0,0.0,0.0,0.33333334,0.0, you think of houses they get dirty they get dusty,low-intensity-disgust,7ZzbemE4QEE_38.4047_41.1285.wav
0.33333334,0.0,0.0,0.0,0.0,0.0, consider hiring somebody make it look immaculate,low-intensity-happy,7ZzbemE4QEE_41.1285_45.2503.wav
0.33333334,0.0,0.0,0.0,0.0,0.0, order to cultivate a cohesive and neutral style everything,low-intensity-happy,7ZzbemE4QEE_45.2580_49.5494.wav
0.33333334,0.0,0.0,0.0,0.0,0.0, to work together light colors,low-intensity-happy,7ZzbemE4QEE_49.5494_53.1124.wav
0.0,0.0,0.0,0.0,0.0,0.0, by letting your opponent speak this situation may resolve itself naturally,none,7eWclVCXOtk_24.0175_28.8780.wav
0.6666667,0.0,0.33333334,0.0,0.0,0.0, when this happens don't fall for it,happy,7eWclVCXOtk_39.9800_42.7650.wav
1.3333334,0.0,0.0,0.0,0.0,0.0, hi,happy,80620_2.1270_3.4350.wav
1.0,0.0,0.0,0.0,1.6666666,0.0, it's just a really corny movie,happy-disgust,80620_38.4850_42.1365.wav
0.33333334,0.6666667,0.6666667,0.0,1.3333334,0.0, wicker i hate this movie,sad-anger-disgust,80627_16.7940_20.8760.wav
1.0,0.0,0.0,0.0,1.0,0.0, but if they didn't have those actors i would give it a one,happy-disgust,80627_26.1620_29.5860.wav
0.33333334,0.0,0.0,0.0,0.0,0.0, this is natural libra started one jack black a pair of tights,low-intensity-happy,80866_2.8160_8.4940.wav
